"link","jenis_pekerjaan","nama_perusahaan","lokasi_perusahaan","kemampuan"
"https://www.techinasia.com/jobs/7f4c8cc5-3a73-4209-9b0c-66f036d844eb","Data Analyst","Reku (Rekeningku)","Jakarta, Indonesia","Attention to Detail, Databases, CryptoCurrency, SQL ,NoSQL, Data Management, Statistical Analysis, Data Analysis, English Language, Communications, Data Mining"
"https://www.techinasia.com/jobs/1656be91-6de3-4433-8b4e-cff067c3859c","QA Engineer","Gramedia e-Perpust","Jakarta, Indonesia (Remote)","Test Automation, QA, iOS, Development, Python, User Experience (UX) Design, Mobile UI Design, Selenium, Android User Experience (UX), APIs, Usability, Testing Software, Testing Quality Control, Functional Testing"
"https://www.techinasia.com/jobs/486a19ae-2377-4387-9042-e498b8e8314f","Creative Manager","Koltiva","Jakarta, Indonesia","Creative Direction, Adobe Creative, Suite Graphic Design, Video Editing, Photography"
"https://www.techinasia.com/jobs/a8787fb0-fcd5-4053-9462-0681f8eba327","Graphic Designer","Koltiva","Jakarta, Indonesia","Graphic Design, Design Strategy, Experience Design"
"https://www.techinasia.com/jobs/bc73ec0a-45c0-40ec-98c2-36ea820e04df","Content Creator Internship","EMOS GLOBAL DIGITAL","Jakarta, Indonesia","Content Creation, Social Media, Graphic Design"
"https://www.techinasia.com/jobs/4d832211-72a1-469e-9f1f-dd2f0bf5686b","Accounting Supervisor","Halodoc ID","Jakarta, Indonesia","Accounting, Accounts Payable, Management"
"https://www.techinasia.com/jobs/fef36770-7473-45ee-9249-a04e66addd22","Job not found","","",""
"https://www.techinasia.com/jobs/598e08b5-9a3f-4104-bfe3-0367d1cb34e6","Content Developer Freelance","PT Samala Serasi Unggul","Jakarta, Indonesia (Remote)","Microsoft PowerPoint, Communication Skills, Technical Writing"
"https://www.techinasia.com/jobs/e186527d-2c58-4d51-bea0-fc4155620e9a","Sales Medical Representatif","PT YES DOK INDONESIA","Jakarta, Indonesia","Business Development & Partnerships, Sales & Marketing, Sales Strategy & Management, Business Development, Marketing Communications, Marketing Strategy"
"https://www.techinasia.com/jobs/5627e468-943c-4ac6-af96-567508606a5e","Creative Graphic Design","PT Green City Traffic","Kemayoran, Indonesia","Adobe Illustrator, Adobe Photoshop, Video Editing"
"https://www.techinasia.com/jobs/e5faad4c-bfdc-4202-afd6-0aae21b17c2a","Customer Success Specialist - HRIS","Mekari","Jakarta, Indonesia","Account Management, Human Resources, Client Relations"
"https://www.techinasia.com/jobs/8edc6679-5078-43ff-8183-d1f735ea1f0f","Brand Specialist","Aplikasi Super","Jakarta, Indonesia","Brand Management, Branding, Marketing Strategy"
"https://www.techinasia.com/jobs/27b8db75-26fd-419a-9e18-0ef068ea16c3","Operations Intern","Ematic Solutions","Makati City, Philippines","Marketing, Communication Skills, Business Development & Partnerships"
"https://www.techinasia.com/jobs/b17ca46a-91c9-4049-96c7-d6c0219062f0","Content Quality Assurance (Remote)","Jakmall","Jakarta, Indonesia (Remote)","Web Development, Copywriting & Editing"
"https://www.techinasia.com/jobs/a575e715-65ee-4e3c-8f3e-08781ba89dff","Executive Secretary","Pasifik Satelit Nusantara","Jakarta, Indonesia","Microsoft Office, Communication Skills, English Language"
"https://www.techinasia.com/jobs/efe8f8fd-57f4-4b63-b0de-42d568d62397","Field Sales Supervisor - East Java","Jiva","Indonesia Bulk Terminal, Indonesia","Marketing Strategy, Marketing Communications, Sales & Marketing"
"https://www.techinasia.com/jobs/bb401caf-db30-4a9f-bbbe-40572ee48ba4","Sales Associate (Onground)","Rukita","Medan, Sumatra, Indonesia","Sales & Marketing, Communication Skills, Negotiation"
"https://www.techinasia.com/jobs/3cbfc829-1f45-4288-b25a-6b6035b6cb93","Field Sales Supervisor - NTB","Jiva","Indonesia Bulk Terminal, Indonesia","Sales, Strategy & Management Sales, Sales Support, Sales & Marketing"
"https://www.techinasia.com/jobs/4e102e21-5f93-4deb-93de-24351c27de8f","VP of Engineering","99 Group (99.co)","Bandung, Java, Indonesia","Project Management, Communication Skills, Strategy Scrum, Master Scrum, Software Engineering, People Management, Software Architecture, Agile, Software Development, Software Development"
"https://www.techinasia.com/jobs/3b1933bb-de19-43b6-8d5d-df430880409e","Head of Delivery and Engineering Excellence","Moladin Digital Indonesia","Jakarta, Indonesia (Remote)","Scrum, Kanban, Jira, Information Technology ,Scrum Master, Leadership, Analytical Skills, Attention to Detail, Strategic Planning, Problem Solving, Communication Skills"
"https://www.techinasia.com/jobs/cfa2f12f-c3ba-4ace-99c2-3b1da9fa09ec","Quality Assurance Manager","Moladin Digital Indonesia","Jakarta, Indonesia (Remote)","Leadership, Creative, Problem Solving, Attention to Detail, Analytical Skills, Agile, Scrum, English Language, Databases, SQL, APIs, User Interface (UI), Selenium"
"https://www.techinasia.com/jobs/2f2c08b4-7b0f-4003-8c29-a8d2376e7881","Data Engineer","Octopus Indonesia","Jakarta, Indonesia","Amazon Web Services (AWS), Python, Software Engineering, Airflow Coding"
"https://www.techinasia.com/jobs/a301017c-2b5b-49c5-948c-8b9bc89ad83a","Mobile Engineer","Octopus Indonesia","Jakarta, Indonesia","Java, Swift, Design Patterns, APIs, Mobile Development"
"https://www.techinasia.com/jobs/78fde133-47b8-41d5-abcb-2b13e3cefecb","Content Talent Intern","UENA","Jakarta, Indonesia","Marketing Strategy, Social Media Marketing, Digital Marketing"
"https://www.techinasia.com/jobs/f3c33cbf-3937-439b-b0ce-c92fc9d09a30","DevOps Engineer","Octopus Indonesia","Jakarta, Indonesia","Git, Amazon Web Services (AWS), DevOps, Security, PostgreSQL, Compliance, MongoDB"
"https://www.techinasia.com/jobs/f09988cf-f5f6-4192-8b4d-dbae84b89749","Section Head of Creative & TikTok service","Boleh Dicoba Digital","Bandung, Java, Indonesia","Marketing, Marketing Communications, Project Management, Communication Skills, Content Marketing, Creative Direction, Coaching, Design Strategy"
"https://www.techinasia.com/jobs/112d120d-3967-4b8d-a629-4710fed90976","Senior Mobile Engineer","Rukita","Jakarta, Indonesia (Remote)","Android, iOS Development, Mobile Application, React.js, Javascript, Java, Swift, Objective-C, APIs, REST, Scrum"
"https://www.techinasia.com/jobs/61650ef0-5a4b-4ab9-8764-2fbf7290793b","Business Development Manager","Rukita","Medan, Sumatra, Indonesia","Business Development & Partnerships, Microsoft Office, Business Development, Leadership, Communication Skills, Negotiation"
"https://www.techinasia.com/jobs/6974ce70-2f95-484d-9732-0259f557169b","Front End Developer","Scout.inc","Jakarta, Indonesia","MySQL, Python, Front-end Development, Git, Bootstrap"
"https://www.techinasia.com/jobs/660537af-c783-4c3e-a7f3-a9dd02c61aec","Net. Core","Scout.inc","Jakarta, Indonesia","ASP.NET, Apache, Git, TFS, Mechanical Engineering"
"https://www.techinasia.com/jobs/da205688-0d33-47f5-8c33-ee6d3e2a19f1",".Net Developer","Scout.inc","Jakarta, Indonesia","ASP.NET, Javascript, TFS, Git"
"https://www.techinasia.com/jobs/5a99e6c7-ef26-491a-b85a-5f6296477962","System Analyst","Scout.inc","Jakarta, Indonesia","Javascript, SQL Server, Web Development, Git, .NET"
"https://www.techinasia.com/jobs/33ea5ddb-4707-412f-a81a-15b0e1bd5adc","Cloud Engineer","Scout.inc","Jakarta, Indonesia","MySQL, SQL Server, DevOps"
"https://www.techinasia.com/jobs/dcfbbe54-82f4-492c-bf68-2f45f21b6d8b","Security Engineer","Scout.inc","Jakarta, Indonesia","Amazon Web Services (AWS), Bash, PowerShell, MySQL, Cloud Computing"
"https://www.techinasia.com/jobs/ab7ff401-c78d-4e72-97c4-ab1e55307d55","Merchant Acquisition Specialist","MC Payment Indonesia","Jakarta, Indonesia","Sales Business Development, Marketing, Marketing Communications, Sales & Marketing"
"https://www.techinasia.com/jobs/bdeaff73-10f2-4c11-9e3b-df3cce399a5b","Business Analyst","Scout.inc","Jakarta, Indonesia","SQL, MySQL, SQL Server, Statistics"
"https://www.techinasia.com/jobs/7e7ec99c-08e9-4940-bc86-28091b709ce4","Account Executive","PT WIR Asia Tbk","Jakarta, Indonesia","Account Management, Executive Management, Client Relations, Communication Skills"
"https://www.techinasia.com/jobs/b40e612b-0d56-4271-988f-6f60c5a74e8c","Business Operations Lead","Rey.id","Jakarta, Indonesia (Remote)","Sales & Marketing, Business Development, Business Development & Partnerships, Business Model, Innovation Business, Management Business, Operations Business, Plan Business, Strategy New Business, Development Business, Analysis"
"https://www.techinasia.com/jobs/642cfc27-b481-4d5e-9dd1-23e2bf7a3022","Data analyst reviewer","Refocus","Jakarta, Indonesia (Remote)","Python, MySQL, Communication Skills, Microsoft Excel, Microsoft SQL Server, Microsoft Office"
"https://www.techinasia.com/jobs/eb69fff7-4e1a-452e-a90b-f708d72a846b","JMCS Engineer","Ematic Solutions","Makati City, Philippines","Digital Marketing, Project Management, Marketing"
"https://www.techinasia.com/jobs/6694e81d-92c0-444c-9f63-ef0631afd120","Fullstack Payment Gateway Engineer","PT Bimasakti Multi Sinergi","Sidoarjo, Indonesia","PHP, Laravel, REST APIs, MySQL, SDLC"
